# index arm charge dw23_bin_center wness_bin_center value uncertainty
113 0 0 -0.297500 0.567500 -0.042675 9.698381
114 0 0 -0.297500 0.572500 -0.036402 9.699889
115 0 0 -0.297500 0.577500 -0.030084 9.701595
116 0 0 -0.297500 0.582500 -0.023735 9.703512
117 0 0 -0.297500 0.587500 -0.017372 9.705656
118 0 0 -0.297500 0.592500 -0.011009 9.708041
119 0 0 -0.297500 0.597500 -0.004660 9.710682
120 0 0 -0.297500 0.602500 0.001659 9.713591
121 0 0 -0.297500 0.607500 0.007933 9.716782
122 0 0 -0.297500 0.612500 0.014150 9.720265
123 0 0 -0.297500 0.617500 0.020293 9.724051
124 0 0 -0.297500 0.622500 0.026349 9.728148
125 0 0 -0.297500 0.627500 0.032304 9.732563
126 0 0 -0.297500 0.632500 0.038145 9.737301
127 0 0 -0.297500 0.637500 0.043859 9.742365
128 0 0 -0.297500 0.642500 0.049433 9.747758
129 0 0 -0.297500 0.647500 0.054854 9.753478
130 0 0 -0.297500 0.652500 0.060111 9.759524
131 0 0 -0.297500 0.657500 0.065192 9.765892
132 0 0 -0.297500 0.662500 0.070088 9.772576
133 0 0 -0.297500 0.667500 0.074786 9.779571
134 0 0 -0.297500 0.672500 0.079278 9.786870
135 0 0 -0.297500 0.677500 0.083554 9.794465
136 0 0 -0.297500 0.682500 0.087606 9.802351
137 0 0 -0.297500 0.687500 0.091426 9.810521
138 0 0 -0.297500 0.692500 0.095006 9.818974
139 0 0 -0.297500 0.697500 0.098340 9.827709
140 0 0 -0.297500 0.702500 0.101422 9.836730
141 0 0 -0.297500 0.707500 0.104247 9.846049
142 0 0 -0.297500 0.712500 0.106811 9.855683
143 0 0 -0.297500 0.717500 0.109108 9.865658
144 0 0 -0.297500 0.722500 0.111136 9.876014
145 0 0 -0.297500 0.727500 0.112893 9.886802
146 0 0 -0.297500 0.732500 0.114377 9.898087
147 0 0 -0.297500 0.737500 0.115587 9.909956
148 0 0 -0.297500 0.742500 0.116522 9.922514
149 0 0 -0.297500 0.747500 0.117182 9.935890
150 0 0 -0.297500 0.752500 0.117570 9.950241
151 0 0 -0.297500 0.757500 0.117686 9.965753
152 0 0 -0.297500 0.762500 0.117534 9.982647
153 0 0 -0.297500 0.767500 0.117115 10.001180
154 0 0 -0.297500 0.772500 0.116434 10.021653
155 0 0 -0.297500 0.777500 0.115496 10.044410
156 0 0 -0.297500 0.782500 0.114305 10.069845
157 0 0 -0.297500 0.787500 0.112867 10.098408
158 0 0 -0.297500 0.792500 0.111188 10.130606
159 0 0 -0.297500 0.797500 0.109275 10.167009
160 0 0 -0.297500 0.802500 0.107135 10.208257
161 0 0 -0.297500 0.807500 0.104776 10.255061
162 0 0 -0.297500 0.812500 0.102206 10.308210
163 0 0 -0.297500 0.817500 0.099435 10.368574
164 0 0 -0.297500 0.822500 0.096471 10.437113
165 0 0 -0.297500 0.827500 0.093324 10.514876
166 0 0 -0.297500 0.832500 0.090004 10.603009
167 0 0 -0.297500 0.837500 0.086522 10.702761
168 0 0 -0.297500 0.842500 0.082888 10.815485
169 0 0 -0.297500 0.847500 0.079113 10.942643
170 0 0 -0.297500 0.852500 0.075209 11.085812
171 0 0 -0.297500 0.857500 0.071187 11.246684
172 0 0 -0.297500 0.862500 0.067059 11.427076
173 0 0 -0.297500 0.867500 0.062836 11.628924
174 0 0 -0.297500 0.872500 0.058531 11.854296
175 0 0 -0.297500 0.877500 0.054156 12.105384
176 0 0 -0.297500 0.882500 0.049723 12.384515
177 0 0 -0.297500 0.887500 0.045245 12.694147
178 0 0 -0.297500 0.892500 0.040733 13.036871
179 0 0 -0.297500 0.897500 0.036201 13.415413
180 0 0 -0.297500 0.902500 0.031660 13.832634
181 0 0 -0.297500 0.907500 0.027122 14.291525
182 0 0 -0.297500 0.912500 0.022600 14.795213
183 0 0 -0.297500 0.917500 0.018105 15.346952
184 0 0 -0.297500 0.922500 0.013649 15.950125
185 0 0 -0.297500 0.927500 0.009245 16.608239
186 0 0 -0.297500 0.932500 0.004902 17.324922
187 0 0 -0.297500 0.937500 0.000633 18.103916
188 0 0 -0.297500 0.942500 -0.003552 18.949076
189 0 0 -0.297500 0.947500 -0.007642 19.864361
190 0 0 -0.297500 0.952500 -0.011627 20.853826
191 0 0 -0.297500 0.957500 -0.015497 21.921618
192 0 0 -0.297500 0.962500 -0.019242 23.071968
193 0 0 -0.297500 0.967500 -0.022853 24.309177
194 0 0 -0.297500 0.972500 -0.026322 25.637614
195 0 0 -0.297500 0.977500 -0.029639 27.061700
196 0 0 -0.297500 0.982500 -0.032798 28.585900
197 0 0 -0.297500 0.987500 -0.035789 30.214714
198 0 0 -0.297500 0.992500 -0.038607 31.952660
199 0 0 -0.297500 0.997500 -0.041243 33.804264
200 0 0 -0.292500 0.002500 -0.406870 28.847237
201 0 0 -0.292500 0.007500 -0.380861 27.173393
202 0 0 -0.292500 0.012500 -0.355271 25.608812
203 0 0 -0.292500 0.017500 -0.330125 24.148829
204 0 0 -0.292500 0.022500 -0.305449 22.788808
205 0 0 -0.292500 0.027500 -0.281266 21.524147
206 0 0 -0.292500 0.032500 -0.257600 20.350293
207 0 0 -0.292500 0.037500 -0.234472 19.262755
208 0 0 -0.292500 0.042500 -0.211905 18.257110
209 0 0 -0.292500 0.047500 -0.189917 17.329015
210 0 0 -0.292500 0.052500 -0.168529 16.474217
211 0 0 -0.292500 0.057500 -0.147757 15.688560
212 0 0 -0.292500 0.062500 -0.127621 14.967992
213 0 0 -0.292500 0.067500 -0.108134 14.308573
214 0 0 -0.292500 0.072500 -0.089312 13.706480
215 0 0 -0.292500 0.077500 -0.071168 13.158014
216 0 0 -0.292500 0.082500 -0.053714 12.659604
217 0 0 -0.292500 0.087500 -0.036962 12.207810
218 0 0 -0.292500 0.092500 -0.020920 11.799325
219 0 0 -0.292500 0.097500 -0.005599 11.430982
220 0 0 -0.292500 0.102500 0.008997 11.099752
221 0 0 -0.292500 0.107500 0.022859 10.802747
222 0 0 -0.292500 0.112500 0.035985 10.537217
223 0 0 -0.292500 0.117500 0.048371 10.300557
224 0 0 -0.292500 0.122500 0.060014 10.090298
225 0 0 -0.292500 0.127500 0.070915 9.904112
226 0 0 -0.292500 0.132500 0.081073 9.739807
227 0 0 -0.292500 0.137500 0.090492 9.595327
228 0 0 -0.292500 0.142500 0.099174 9.468746
229 0 0 -0.292500 0.147500 0.107124 9.358268
230 0 0 -0.292500 0.152500 0.114348 9.262224
231 0 0 -0.292500 0.157500 0.120852 9.179065
232 0 0 -0.292500 0.162500 0.126645 9.107359
233 0 0 -0.292500 0.167500 0.131737 9.045788
234 0 0 -0.292500 0.172500 0.136139 8.993143
235 0 0 -0.292500 0.177500 0.139861 8.948320
236 0 0 -0.292500 0.182500 0.142918 8.910311
237 0 0 -0.292500 0.187500 0.145322 8.878204
238 0 0 -0.292500 0.192500 0.147090 8.851177
239 0 0 -0.292500 0.197500 0.148237 8.828488
240 0 0 -0.292500 0.202500 0.148780 8.809476
241 0 0 -0.292500 0.207500 0.148737 8.793556
242 0 0 -0.292500 0.212500 0.148128 8.780206
243 0 0 -0.292500 0.217500 0.146971 8.768971
244 0 0 -0.292500 0.222500 0.145287 8.759455
245 0 0 -0.292500 0.227500 0.143097 8.751313
246 0 0 -0.292500 0.232500 0.140423 8.744252
247 0 0 -0.292500 0.237500 0.137288 8.738021
248 0 0 -0.292500 0.242500 0.133715 8.732412
249 0 0 -0.292500 0.247500 0.129727 8.727253
250 0 0 -0.292500 0.252500 0.125348 8.722401
251 0 0 -0.292500 0.257500 0.120603 8.717747
252 0 0 -0.292500 0.262500 0.115516 8.713202
253 0 0 -0.292500 0.267500 0.110113 8.708703
254 0 0 -0.292500 0.272500 0.104418 8.704205
255 0 0 -0.292500 0.277500 0.098458 8.699677
256 0 0 -0.292500 0.282500 0.092257 8.695105
257 0 0 -0.292500 0.287500 0.085842 8.690482
258 0 0 -0.292500 0.292500 0.079238 8.685815
259 0 0 -0.292500 0.297500 0.072471 8.681114
260 0 0 -0.292500 0.302500 0.065565 8.676396
261 0 0 -0.292500 0.307500 0.058547 8.671683
262 0 0 -0.292500 0.312500 0.051441 8.666997
263 0 0 -0.292500 0.317500 0.044272 8.662364
264 0 0 -0.292500 0.322500 0.037064 8.657809
265 0 0 -0.292500 0.327500 0.029841 8.653356
266 0 0 -0.292500 0.332500 0.022628 8.649028
267 0 0 -0.292500 0.337500 0.015446 8.644849
268 0 0 -0.292500 0.342500 0.008318 8.640836
269 0 0 -0.292500 0.347500 0.001266 8.637008
270 0 0 -0.292500 0.352500 -0.005689 8.633379
271 0 0 -0.292500 0.357500 -0.012526 8.629961
272 0 0 -0.292500 0.362500 -0.019226 8.626762
273 0 0 -0.292500 0.367500 -0.025769 8.623789
